Date,Open,High,Low,Close
03/08/2021,"3,075.16","3,079.98","3,060.58","3,071.16"
03/05/2021,"3,005.90","3,028.44","2,992.23","3,013.85"
03/04/2021,"2,987.66","3,015.87","2,981.34","3,014.78"
03/03/2021,"2,991.12","3,000.44","2,980.68","3,000.37"
03/02/2021,"2,989.80","3,000.06","2,970.92","2,973.87"
03/01/2021,"2,948.69","2,981.50","2,948.64","2,973.00"
02/26/2021,"2,923.23","2,951.29","2,921.10","2,949.04"
02/25/2021,"2,951.03","2,976.36","2,949.62","2,973.54"
02/24/2021,"2,897.72","2,935.76","2,896.57","2,924.58"
02/23/2021,"2,879.64","2,905.22","2,875.90","2,890.70"
02/22/2021,"2,888.29","2,897.53","2,876.89","2,881.21"
02/19/2021,"2,896.91","2,880.64","2,880.64","2,880.64"
02/18/2021,"2,917.93","2,921.71","2,901.09","2,908.85"
02/17/2021,"2,913.81","2,928.25","2,909.54","2,920.43"
02/16/2021,"2,935.58","2,945.29","2,932.20","2,935.34"
02/15/2021,"2,929.94","2,946.22","2,929.06","2,931.52"
02/11/2021,"2,915.98","2,926.34","2,914.90","2,925.48"
02/10/2021,"2,936.10","2,938.21","2,919.98","2,925.84"
02/09/2021,"2,946.20","2,959.66","2,924.80","2,935.27"
02/08/2021,"2,909.80","2,938.15","2,908.18","2,931.40"
02/05/2021,"2,916.06","2,917.59","2,903.37","2,907.11"
02/04/2021,"2,933.08","2,936.59","2,884.74","2,905.58"
02/03/2021,"2,932.72","2,939.35","2,927.05","2,927.47"
02/02/2021,"2,906.20","2,918.85","2,902.01","2,917.29"
02/01/2021,"2,888.75","2,901.78","2,873.77","2,896.32"
01/29/2021,"2,941.58","2,950.75","2,887.20","2,902.52"
01/28/2021,"2,924.48","2,930.75","2,911.75","2,920.30"
01/27/2021,"2,952.47","2,967.78","2,948.71","2,958.63"
01/26/2021,"2,967.63","2,968.98","2,935.65","2,945.52"
01/25/2021,"2,998.04","3,004.97","2,971.07","2,973.65"
01/22/2021,"3,009.02","3,009.13","2,981.18","2,991.53"
01/21/2021,"3,004.16","3,017.15","2,997.69","3,017.15"
01/20/2021,"2,995.70","3,001.14","2,985.71","2,998.77"
01/19/2021,"2,996.64","3,007.99","2,990.93","2,995.92"
01/18/2021,"2,995.73","2,990.40","2,990.40","2,990.40"
01/15/2021,"2,995.85","3,012.53","2,991.76","3,004.87"
01/14/2021,"2,982.00","3,001.34","2,979.38","3,000.00"
01/13/2021,"2,982.16","2,994.79","2,977.51","2,977.51"
01/12/2021,"2,975.15","2,983.66","2,968.90","2,977.17"
01/11/2021,"2,983.50","2,993.16","2,971.93","2,983.90"
01/08/2021,"2,935.18","2,993.19","2,933.71","2,993.19"
01/07/2021,"2,892.33","2,912.70","2,884.18","2,906.97"
01/06/2021,"2,858.53","2,865.04","2,852.32","2,863.01"
01/05/2021,"2,842.06","2,859.68","2,832.04","2,859.68"
01/04/2021,"2,846.20","2,861.21","2,836.25","2,858.90"
12/31/2020,"2,853.60","2,861.61","2,843.81","2,843.81"
12/30/2020,"2,855.06","2,878.13","2,846.22","2,869.22"
12/29/2020,"2,848.65","2,852.65","2,840.38","2,848.14"
12/28/2020,"2,845.85","2,840.14","2,840.14","2,840.14"
12/24/2020,"2,840.65","2,847.80","2,834.14","2,842.04"
12/23/2020,"2,817.87","2,838.45","2,805.24","2,833.40"
12/22/2020,"2,842.45","2,844.82","2,803.97","2,827.32"
12/21/2020,"2,847.19","2,854.61","2,831.40","2,846.52"
12/18/2020,"2,858.45","2,862.93","2,845.55","2,848.98"
12/17/2020,"2,866.97","2,867.11","2,849.43","2,858.02"
12/16/2020,"2,866.12","2,875.48","2,862.43","2,872.80"
12/15/2020,"2,863.10","2,863.97","2,841.51","2,856.72"
12/14/2020,"2,836.30","2,870.44","2,835.22","2,858.14"
12/11/2020,"2,836.88","2,848.97","2,818.35","2,821.70"
12/10/2020,"2,833.17","2,834.79","2,820.05","2,824.96"
12/09/2020,"2,825.72","2,849.16","2,825.32","2,843.07"
12/08/2020,"2,820.99","2,829.51","2,817.27","2,825.63"
12/07/2020,"2,842.58","2,853.23","2,824.23","2,825.51"
12/04/2020,"2,825.56","2,841.46","2,819.53","2,839.89"
12/03/2020,"2,809.74","2,822.40","2,792.74","2,822.34"
12/02/2020,"2,805.50","2,817.33","2,796.71","2,810.95"
12/01/2020,"2,802.94","2,824.54","2,793.22","2,814.12"
11/30/2020,"2,869.89","2,869.89","2,797.19","2,805.95"
11/27/2020,"2,846.95","2,866.34","2,845.16","2,855.82"
11/26/2020,"2,856.37","2,857.48","2,839.80","2,857.48"
